,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
2053,31,278,247,19,233,248
2054,593,146,-447,37,539,554
2055,377,584,207,17,193,208
2056,137,634,497,33,483,498
2057,303,326,23,5,9,24
2058,456,0,-456,35,530,545
2059,442,637,195,15,181,196
2060,623,928,305,21,291,306
2061,572,378,-194,53,792,807
2062,360,722,362,25,348,363
2063,536,714,178,13,164,179
2064,963,652,-311,45,675,690
2065,218,413,195,15,181,196
2066,87,12,-75,61,911,926
2067,998,973,-25,65,961,976
2068,429,233,-196,52,790,805
2069,18,622,604,40,590,605
2070,951,510,-441,39,545,560
2071,962,267,-695,21,291,306
2072,504,875,371,26,357,372
2073,63,446,383,28,369,384
2074,608,88,-520,31,466,481
2075,434,193,-241,51,745,760
2076,659,337,-322,45,664,679
2077,977,175,-802,15,184,199
2078,145,506,361,25,347,362
2079,333,139,-194,53,792,807
2080,752,177,-575,29,411,426
2081,120,701,581,39,567,582
2082,365,362,-3,65,983,998
2083,350,989,639,44,625,640
2084,358,258,-100,58,886,901
2085,506,804,298,21,284,299
2086,425,837,412,28,398,413
2087,430,344,-86,59,900,915
2088,733,467,-266,49,720,735
2089,855,387,-468,35,518,533
2090,302,934,632,41,618,633
2091,433,576,143,13,129,144
2092,298,115,-183,53,803,818
2093,681,266,-415,39,571,586
2094,842,57,-785,17,201,216
2095,736,776,40,4,26,41
2096,15,891,876,57,862,877
2097,456,637,181,14,167,182
2098,429,758,329,23,315,330
2099,56,118,62,7,48,63
2100,813,236,-577,30,409,424
2101,722,241,-481,36,505,520
2102,542,789,247,19,233,248
2103,917,128,-789,16,197,212
2104,997,826,-171,55,815,830
2105,543,800,257,18,243,258
2106,87,900,813,54,799,814
2107,278,422,144,10,130,145
2108,758,674,-84,59,902,917
2109,0,66,66,6,52,67
2110,810,243,-567,29,419,434
2111,62,905,843,56,829,844
2112,776,21,-755,18,231,246
2113,442,249,-193,54,793,808
2114,720,170,-550,30,436,451
2115,521,334,-187,54,799,814
2116,754,240,-514,33,472,487
2117,564,446,-118,57,868,883
2118,170,394,224,15,210,225
2119,287,455,168,12,154,169
2120,492,994,502,34,488,503
2121,518,13,-505,35,481,496
2122,653,24,-629,26,357,372
2123,71,355,284,20,270,285
2124,305,547,242,17,228,243
2125,559,206,-353,44,633,648
2126,347,408,61,7,47,62
2127,211,264,53,6,39,54
2128,634,900,266,19,252,267
2129,870,922,52,5,38,53
2130,142,166,24,3,10,25
2131,684,8,-676,22,310,325
2132,786,976,190,15,176,191
2133,756,870,114,9,100,115
2134,234,521,287,22,273,288
2135,315,188,-127,57,859,874
2136,137,794,657,43,643,658
2137,135,234,99,9,85,100
2138,893,502,-391,40,595,610
2139,579,597,18,3,4,19
2140,573,874,301,22,287,302
2141,662,653,-9,66,977,992
2142,212,485,273,19,259,274
2143,301,680,379,27,365,380
2144,814,891,77,8,63,78
2145,813,651,-162,55,824,839
2146,48,117,69,7,55,70
2147,209,414,205,16,191,206
2148,288,265,-23,63,963,978
2149,480,376,-104,57,882,897
2150,709,674,-35,63,951,966
2151,225,605,380,26,366,381
2152,292,970,678,45,664,679
2153,718,384,-334,44,652,667
2154,824,455,-369,43,617,632
2155,566,335,-231,50,755,770
2156,880,465,-415,39,571,586
2157,626,146,-480,34,506,521
2158,407,657,250,18,236,251
2159,409,21,-388,40,598,613
2160,309,972,663,45,649,664
2161,912,41,-871,10,115,130
2162,542,966,424,28,410,425
2163,684,929,245,18,231,246
2164,890,750,-140,56,846,861
2165,69,733,664,43,650,665
2166,86,612,526,36,512,527
2167,116,254,138,11,124,139
2168,166,618,452,30,438,453
2169,246,846,600,39,586,601
2170,105,744,639,44,625,640
2171,507,161,-346,44,640,655
2172,887,742,-145,57,841,856
2173,409,472,63,8,49,64
2174,270,124,-146,56,840,855
2175,998,753,-245,50,741,756
2176,86,949,863,58,849,864
2177,472,82,-390,40,596,611
2178,613,877,264,18,250,265
2179,412,938,526,36,512,527
2180,268,284,16,2,2,17
2181,326,360,34,4,20,35
2182,842,61,-781,17,205,220
2183,826,672,-154,56,832,847
2184,868,490,-378,42,608,623
2185,307,760,453,31,439,454
2186,154,310,156,12,142,157
2187,337,211,-126,57,860,875
2188,292,66,-226,51,760,775
2189,613,719,106,9,92,107
2190,81,702,621,42,607,622
2191,185,351,166,13,152,167
2192,66,38,-28,63,958,973
2193,931,674,-257,50,729,744
2194,228,188,-40,61,946,961
2195,570,635,65,6,51,66
2196,722,50,-672,22,314,329
2197,640,280,-360,41,626,641
2198,97,943,846,56,832,847
2199,516,149,-367,42,619,634
2200,349,48,-301,47,685,700
2201,137,895,758,50,744,759
2202,703,762,59,7,45,60
2203,600,628,28,4,14,29
2204,959,209,-750,18,236,251
2205,234,826,592,38,578,593
2206,348,744,396,27,382,397
2207,313,3,-310,45,676,691
2208,366,851,485,33,471,486
2209,187,32,-155,56,831,846
2210,919,91,-828,13,158,173
2211,98,110,12,3,6,13
2212,990,925,-65,62,921,936
2213,979,40,-939,7,47,62
2214,694,663,-31,63,955,970
2215,467,875,408,27,394,409
2216,425,611,186,14,172,187
2217,668,449,-219,52,767,782
